Time,MAPE,MAE,MSE,RMSLE,Training_time
00:30:00,112.750834,0.051003,0.003586,0.059880,0:01:14.500591
05:00:00,74.947815,0.045288,0.002255,0.047488,0:00:58.727692
05:30:00,73.780281,0.046766,0.007121,0.084386,0:01:23.869159
06:00:00,116.228851,0.056730,0.005245,0.072420,0:01:32.624758
06:30:00,120.404388,0.090281,0.026156,0.161727,0:00:54.774629
07:00:00,114.287007,0.308409,0.168250,0.410182,0:00:36.867921
07:30:00,59.850360,0.084715,0.030927,0.175861,0:00:52.639148
08:00:00,inf,0.241208,0.100963,0.317747,0:01:07.566751
08:30:00,114.165757,0.215457,0.143203,0.378421,0:00:48.116957
09:00:00,69.409869,0.138985,0.097106,0.311618,0:00:56.433120
09:30:00,380.499320,0.427343,0.532797,0.729930,0:00:48.911295
01:00:00,96.342378,0.047768,0.002474,0.049743,0:00:52.118439
10:00:00,323.732084,0.326981,0.250234,0.500234,0:00:50.670257
10:30:00,225.071611,0.208231,0.107251,0.327492,0:00:49.461307
11:00:00,217.829517,0.300848,0.314516,0.560817,0:00:51.947515
11:30:00,296.342095,0.400907,0.341048,0.583993,0:00:57.037610
12:00:00,322.052678,0.682225,0.863474,0.929233,0:01:00.236144
12:30:00,341.026116,0.470463,0.538921,0.734113,0:00:57.641356
13:00:00,821.602776,0.745874,0.810183,0.900102,0:00:53.040058
13:30:00,797.304422,0.572384,0.425454,0.652269,0:00:46.974004
14:00:00,416.326959,0.315096,0.218816,0.467777,0:00:57.937072
14:30:00,504.931682,0.399847,0.360593,0.600494,0:00:47.317039
01:30:00,63.042663,0.040217,0.002033,0.045086,0:00:56.646216
15:00:00,379.747199,0.424415,0.332142,0.576318,0:00:49.004890
15:30:00,259.077228,0.474681,0.506826,0.711917,0:01:03.437751
16:00:00,303.423348,0.591033,0.626504,0.791520,0:01:02.003323
16:30:00,516.686212,0.678586,0.705365,0.839860,0:01:00.476756
17:00:00,371.796838,0.669653,0.748032,0.864888,0:00:39.325797
17:30:00,148.369755,0.368835,0.247423,0.497416,0:00:41.941963
18:00:00,432.868857,0.833224,0.789259,0.888403,0:00:52.375925
18:30:00,190.225205,0.442195,0.335408,0.579144,0:01:03.277614
19:00:00,255.524160,0.727146,0.739787,0.860109,0:00:57.188229
19:30:00,257.859470,0.815352,1.020596,1.010245,0:01:04.435340
02:00:00,132.817234,0.056875,0.004786,0.069179,0:00:59.872414
20:00:00,184.575093,0.725361,0.934724,0.966812,0:01:03.617813
20:30:00,131.302030,0.628199,0.675910,0.822137,0:01:04.751180
21:00:00,194.626540,0.760367,0.900179,0.948777,0:00:50.350253
21:30:00,236.973569,0.741821,0.977925,0.988901,0:00:49.065890
22:00:00,164.235961,0.450361,0.411985,0.641860,0:01:01.535336
22:30:00,67.291327,0.170454,0.111324,0.333653,0:00:48.687557
23:00:00,183.629501,0.176372,0.040221,0.200552,0:00:59.011704
23:30:00,255.278747,0.162582,0.029256,0.171043,0:01:13.489480
24:00:00,207.077224,0.114299,0.015124,0.122981,0:01:17.141748
02:30:00,60.275515,0.042027,0.002142,0.046282,0:01:10.295022
03:00:00,51.350549,0.040523,0.002361,0.048593,0:01:14.711277
03:30:00,80.183057,0.043062,0.002067,0.045469,0:01:15.306506
04:00:00,75.614865,0.041992,0.002000,0.044716,0:01:11.669308
04:30:00,96.664654,0.046954,0.002552,0.050516,0:01:22.787042